study_hours,attendance,previous_score,assignment_score,sleep_hours,study_sessions,final_score
4.4,66,50,64,8.1,8,64.95
9.6,58,62,44,5.5,1,66.21
7.6,82,40,50,8.9,5,73.8
6.4,69,85,98,6.8,3,76.09
2.4,62,76,73,5.9,1,54.92
2.4,77,60,63,5.3,4,52.73
1.5,97,65,99,5.7,8,63.85
8.8,78,85,54,7.1,3,63.66
6.4,62,75,77,6.3,10,69.6
7.4,95,62,47,8.3,2,57.21
1.2,84,40,98,6.7,9,59.51
9.7,55,90,44,6.0,10,68.35
8.5,67,79,87,7.5,5,73.58
2.9,100,54,65,7.8,7,57.8
2.6,54,60,57,5.7,2,46.53
2.7,96,86,45,5.7,9,63.83
3.7,74,48,76,5.1,9,63.72
5.7,51,48,99,7.9,4,59.31
4.9,59,49,87,7.7,4,61.95
3.6,79,65,52,6.9,6,71.55
6.5,99,80,67,8.4,10,80.54
2.3,94,74,44,8.2,10,60.05
3.6,54,64,52,7.3,10,50.95
4.3,82,65,56,8.5,6,60.88
5.1,50,50,89,5.8,1,52.02
8.1,67,77,79,5.4,9,77.24
2.8,81,41,84,6.1,2,54.82
5.6,96,46,71,5.2,5,53.19
6.3,98,57,68,7.1,9,71.16
1.4,60,66,90,8.7,4,61.73
6.5,70,73,97,5.2,3,70.0
2.5,75,66,42,5.5,7,49.14
1.6,74,56,95,6.8,6,51.31
9.5,71,82,79,8.7,8,73.31
9.7,76,83,73,6.3,3,83.61
8.3,98,90,79,7.0,5,83.74
3.7,62,63,66,5.2,10,62.06
1.9,82,64,52,5.6,4,60.01
7.2,83,46,84,8.9,4,73.96
5.0,90,45,72,8.9,4,59.89
2.1,84,63,45,5.0,10,55.02
5.5,50,72,63,8.8,8,59.68
1.3,70,88,58,7.6,6,54.11
9.2,97,68,55,8.5,3,77.86
3.3,55,82,79,6.8,10,59.79
7.0,77,61,67,7.1,5,56.55
3.8,66,65,72,7.0,6,55.41
5.7,54,67,98,7.7,5,66.22
5.9,80,89,98,5.6,6,86.01
2.7,54,60,87,5.1,8,54.05
9.7,87,88,80,6.2,7,88.81
8.0,52,46,52,7.8,5,57.86
9.5,72,56,82,5.8,10,82.58
9.1,86,59,84,7.7,6,84.14
6.4,86,80,64,8.9,4,78.33
9.3,59,88,92,5.4,9,73.98
1.8,59,59,81,7.7,4,54.13
2.8,68,61,75,6.8,1,58.54
1.4,66,67,66,8.5,7,56.31
3.9,70,79,77,5.7,7,68.43
4.5,63,88,99,7.8,4,71.84
3.4,58,46,46,8.4,3,42.78
8.5,95,40,44,8.8,8,58.96
4.2,50,71,82,7.7,5,57.77
3.5,100,52,84,7.0,10,80.44
5.9,94,69,97,7.5,7,75.02
2.3,62,62,96,8.5,4,49.3
8.2,53,90,90,7.3,4,80.91
1.7,50,58,70,5.1,8,53.58
9.9,98,71,62,8.7,8,89.29
8.0,89,69,81,7.8,2,78.5
2.8,81,68,49,7.7,2,59.08
1.0,83,88,71,5.9,3,68.95
